# STN,YYYYMMDD,TG
260,20210314,6.7
260,20210315,6.6
260,20210316,5.6
260,20210317,5.0
260,20210318,4.4
260,20210319,4.6
260,20210320,4.3
260,20210321,6.1
260,20210322,5.7
260,20210323,6.5
260,20210324,6.7
260,20210325,8.2
260,20210326,9.7
260,20210327,6.9
260,20210328,9.7
260,20210329,12.3
260,20210330,11.3
260,20210331,13.8
260,20210401,9.6
260,20210402,5.3
260,20210403,7.2
260,20210404,6.3
260,20210405,4.2
260,20210406,2.5
260,20210407,3.4
260,20210408,5.5
260,20210409,7.8
260,20210410,5.0
260,20210411,4.2
260,20210412,3.5
260,20210413,4.2
260,20210414,4.5
260,20210415,5.3
260,20210416,6.5
260,20210417,7.1
260,20210418,8.4
260,20210419,8.8
260,20210420,10.9
260,20210421,8.1
260,20210422,6.7
260,20210423,7.1
260,20210424,7.6
260,20210425,7.1
260,20210426,7.3
260,20210427,9.2
260,20210428,10.8
260,20210429,7.7
260,20210430,7.8
260,20210501,7.7
260,20210502,6.8
260,20210503,9.9
260,20210504,9.0
260,20210505,7.1
260,20210506,5.9
260,20210507,6.5
260,20210508,10.4
260,20210509,18.5
260,20210510,15.9
260,20210511,13.6
260,20210512,11.5
260,20210513,12.1
260,20210514,11.1
260,20210515,10.6
260,20210516,11.4
260,20210517,11.1
260,20210518,11.3
260,20210519,10.4
260,20210520,12.2
260,20210521,13.2
260,20210522,10.5
260,20210523,11.7
260,20210524,11.2
260,20210525,10.2
260,20210526,10.8
260,20210527,10.5
260,20210528,12.6
260,20210529,12.5
260,20210530,14.9
260,20210531,16.7
260,20210601,18.5
260,20210602,21.0
260,20210603,20.7
260,20210604,20.0
260,20210605,15.7
260,20210606,16.5
260,20210607,16.8
260,20210608,19.1
260,20210609,19.0
260,20210610,19.3
260,20210611,18.6
260,20210612,16.7
260,20210613,16.6
260,20210614,20.3
260,20210615,18.3
260,20210616,21.6
260,20210617,24.0
260,20210618,22.4
260,20210619,18.1
260,20210620,18.6
260,20210621,14.0
260,20210622,14.5
260,20210623,14.6
260,20210624,15.0
260,20210625,14.8
260,20210626,19.8
260,20210627,20.8
260,20210628,20.3
260,20210629,17.3
260,20210630,14.0
260,20210701,15.0
260,20210702,16.6
260,20210703,18.4
260,20210704,18.1
260,20210705,16.7
260,20210706,18.0
260,20210707,17.2
260,20210708,18.1
260,20210709,17.6
260,20210710,18.4
260,20210711,18.8
260,20210712,19.7
260,20210713,18.8
260,20210714,18.8
260,20210715,17.8
260,20210716,18.0
260,20210717,20.0
260,20210718,20.2
260,20210719,17.4
260,20210720,17.2
260,20210721,19.4
260,20210722,18.3
260,20210723,17.0
260,20210724,18.2
260,20210725,19.7
260,20210726,18.3
260,20210727,17.6
260,20210728,17.6
260,20210729,17.3
260,20210730,17.0
260,20210731,16.4
260,20210801,16.0
260,20210802,15.3
260,20210803,14.3
260,20210804,16.1
260,20210805,18.3
260,20210806,18.8
260,20210807,17.0
260,20210808,16.3
260,20210809,16.6
260,20210810,16.8
260,20210811,17.4
260,20210812,19.0
260,20210813,17.7
260,20210814,17.6
260,20210815,19.1
260,20210816,15.9
260,20210817,14.7
260,20210818,16.8
260,20210819,16.5
260,20210820,17.5
260,20210821,18.7
260,20210822,17.9
260,20210823,18.2
260,20210824,17.1
260,20210825,16.2
260,20210826,16.3
260,20210827,15.8
260,20210828,17.0
260,20210829,16.2
260,20210830,17.6
260,20210831,16.3
260,20210901,16.5
260,20210902,16.3
260,20210903,16.4
260,20210904,15.4
260,20210905,15.6
260,20210906,16.5
260,20210907,18.3
260,20210908,19.4
260,20210909,19.7
260,20210910,19.5
260,20210911,18.3
260,20210912,15.9
260,20210913,14.5
260,20210914,17.3
260,20210915,16.8
260,20210916,16.2
260,20210917,15.9
260,20210918,15.3
260,20210919,15.4
260,20210920,11.9
260,20210921,11.8
260,20210922,13.2
260,20210923,15.8
260,20210924,17.9
260,20210925,16.9
260,20210926,17.7
260,20210927,15.4
260,20210928,14.0
260,20210929,11.8
260,20210930,12.3
260,20211001,13.5
260,20211002,14.4
260,20211003,12.9
260,20211004,13.5
260,20211005,12.7
260,20211006,12.3
260,20211007,10.5
260,20211008,10.7
260,20211009,9.8
260,20211010,10.2
260,20211011,11.8
