index,Date,NSW,year
400,18/04,4,2021
401,19/04,5,2021
402,20/04,6,2021
403,21/04,6,2021
404,22/04,4,2021
405,23/04,2,2021
406,24/04,2,2021
407,25/04,2,2021
408,26/04,2,2021
409,27/04,2,2021
410,28/04,4,2021
411,29/04,2,2021
412,30/04,2,2021
413,01/05,4,2021
414,02/05,2,2021
415,03/05,2,2021
416,04/05,2,2021
417,05/05,3,2021
418,06/05,3,2021
419,07/05,3,2021
420,08/05,3,2021
421,09/05,3,2021
422,10/05,3,2021
423,11/05,2,2021
424,12/05,4,2021
425,13/05,4,2021
426,14/05,4,2021
427,15/05,2,2021
428,16/05,2,2021
429,17/05,2,2021
430,18/05,2,2021
431,19/05,2,2021
432,20/05,2,2021
433,21/05,2,2021
434,22/05,3,2021
435,23/05,3,2021
436,24/05,2,2021
437,25/05,3,2021
438,26/05,3,2021
439,27/05,3,2021
440,28/05,3,2021
441,29/05,3,2021
442,30/05,3,2021
443,31/05,3,2021
444,01/06,3,2021
445,02/06,3,2021
446,03/06,3,2021
447,04/06,3,2021
448,05/06,2,2021
449,06/06,2,2021
450,07/06,2,2021
451,08/06,2,2021
452,09/06,1,2021
453,10/06,1,2021
454,11/06,1,2021
455,12/06,1,2021
456,13/06,1,2021
457,14/06,1,2021
458,15/06,1,2021
459,16/06,1,2021
460,17/06,1,2021
461,18/06,1,2021
462,19/06,1,2021
463,20/06,1,2021
464,21/06,1,2021
465,22/06,3,2021
466,23/06,2,2021
467,24/06,3,2021
468,25/06,4,2021
469,26/06,4,2021
470,27/06,4,2021
471,28/06,8,2021
472,29/06,6,2021
473,30/06,9,2021
474,01/07,14,2021
475,02/07,17,2021
476,03/07,10,2021
477,04/07,20,2021
478,05/07,24,2021
479,06/07,26,2021
480,07/07,37,2021
481,08/07,40,2021
482,09/07,43,2021
483,10/07,47,2021
484,11/07,52,2021
485,12/07,63,2021
486,13/07,65,2021
487,14/07,71,2021
488,15/07,73,2021
489,16/07,75,2021
490,17/07,75,2021
491,18/07,76,2021
492,19/07,82,2021
493,20/07,95,2021
494,21/07,106,2021
495,22/07,118,2021
496,23/07,137,2021
497,24/07,139,2021
498,25/07,141,2021
499,26/07,155,2021
500,27/07,169,2021
501,28/07,164,2021
502,29/07,182,2021
503,30/07,187,2021
504,31/07,187,2021
505,01/08,222,2021
506,02/08,228,2021
507,03/08,247,2021
508,04/08,286,2021
509,05/08,285,2021
510,06/08,304,2021
511,07/08,338,2021
512,08/08,362,2021
513,09/08,349,2021
514,10/08,357,2021
515,11/08,374,2021
516,12/08,374,2021
517,13/08,388,2021
518,14/08,378,2021
519,15/08,379,2021
520,16/08,392,2021
521,17/08,446,2021
522,18/08,460,2021
523,19/08,474,2021
524,20/08,474,2021
525,21/08,515,2021
526,22/08,554,2021
527,23/08,586,2021
528,24/08,607,2021
529,25/08,643,2021
530,26/08,696,2021
531,27/08,761,2021
532,28/08,777,2021
533,29/08,808,2021
534,30/08,840,2021
535,31/08,869,2021
536,01/09,908,2021
537,02/09,956,2021
538,03/09,973,2021
539,04/09,1036,2021
540,05/09,1023,2021
541,06/09,1067,2021
542,07/09,1143,2021
543,08/09,1130,2021
544,09/09,1163,2021
545,10/09,1156,2021
546,11/09,"1,164",2021
547,12/09,1206,2021
548,13/09,1189,2021
549,14/09,1253,2021
550,15/09,1241,2021
551,16/09,1231,2021
552,17/09,1245,2021
553,18/09,"1,219",2021
554,19/09,"1,236",2021
555,20/09,"1,207",2021
556,21/09,1268,2021
557,22/09,1232,2021
558,23/09,1244,2021
559,24/09,"1,186",2021
560,25/09,"1,187",2021
561,26/09,"1,146",2021
562,27/09,"1,155",2021
563,28/09,"1,155",2021
564,29/09,"1,082",2021
565,30/09,1090,2021
566,01/10,"1,055",2021
567,02/10,"1,005",2021
568,03/10,981,2021
569,04/10,959,2021
570,05/10,978,2021
571,06/10,959,2021
572,07/10,911,2021
573,08/10,856,2021
574,09/10,812,2021
575,10/10,794,2021
576,11/10,769,2021
577,12/10,766,2021
578,13/10,716,2021
579,14/10,711,2021
580,15/10,677,2021
581,16/10,652,2021
582,17/10,619,2021
583,18/10,606,2021
584,19/10,589,2021
585,20/10,552,2021
586,21/10,523,2021
587,22/10,482,2021
588,23/10,469,2021
589,24/10,474,2021
590,25/10,474,2021
